timeline,asset,method,holdout_sr,delta,bias,z_score,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
2023-2026,SPY,cpcv,0.9451466597761765,1.4170777051001635,1.4993204392593913,-2.5635508086080923,0,0.0,0.5527792545955355,-0.14669410497099522,1.0
2023-2026,SPY,wf,0.9451466597761765,0.6853808372440721,0.7251581859331541,,0,0.0,0.0,-0.0867244613761925,1.0
2023-2026,SPY,kfold,0.9451466597761765,1.1649352641730255,1.2325444438949802,,0,0.0,0.0,-0.06519306044110806,1.0
2023-2026,AAPL,cpcv,0.8495542847722947,-3.2875488183807096,-3.869733667768939,3.685045517697581,0,1.0,0.8921324859061096,-1.1165480328563944,0.0
2023-2026,AAPL,wf,0.8495542847722947,-2.1161597461113466,-2.4909058597456655,,0,1.0,0.0,-1.0553462912882339,0.0
2023-2026,AAPL,kfold,0.8495542847722947,-3.215247833336212,-3.7846290589870804,,0,1.0,0.0,-1.3772433499992944,0.0
2023-2026,MSTR,cpcv,5.3266815447265685,-5.453112439070601,-1.0237353957210376,3.9873078288381625,0,1.0,1.3676176189937035,-3.741375916889663,0.6
2023-2026,MSTR,wf,5.3266815447265685,-6.805885298269162,-1.2776970504285188,,0,1.0,0.0,-5.180568388293294,0.0
2023-2026,MSTR,kfold,5.3266815447265685,-5.672300771687485,-1.0648845297130782,,0,1.0,0.0,-5.855280945624589,0.0
2023-2026,BTC-USD,cpcv,1.9339278375539333,-2.0108760669549963,-1.039788573237763,1.248808384117286,1,0.8,1.6102358796833145,-0.9055305902991947,0.4
2023-2026,BTC-USD,wf,1.9339278375539333,-3.0286426083555975,-1.5660577140180572,,0,1.0,0.0,-2.372721861026642,0.0
2023-2026,BTC-USD,kfold,1.9339278375539333,-3.213410298099355,-1.661597829918894,,0,1.0,0.0,-2.382569559800053,0.0
COVID-2017-2020,SPY,cpcv,-2.426201597291899,3.3507072713576482,1.3810506410916854,-3.2678551843657657,0,0.0,1.0253536593017547,1.231431963312257,0.6
COVID-2017-2020,SPY,wf,-2.426201597291899,1.902401838394748,0.7841070752398273,,0,0.0,0.0,0.8946215975747558,0.0
COVID-2017-2020,SPY,kfold,-2.426201597291899,3.137138390405887,1.293024616712613,,0,0.0,0.0,0.9319503558725251,1.0
COVID-2017-2020,AAPL,cpcv,-0.7356438530905551,-0.8836081925882662,-1.2011358334282134,0.5665745383891541,1,0.6,1.559562127695467,0.07822796819431588,0.0
COVID-2017-2020,AAPL,wf,-0.7356438530905551,-5.033870997024341,-6.842809840490421,,0,1.0,0.0,-3.0429695422055034,0.0
COVID-2017-2020,AAPL,kfold,-0.7356438530905551,-3.473404977729593,-4.721584994066455,,0,1.0,0.0,-1.3859955083768276,0.0
COVID-2017-2020,MSTR,cpcv,5.684140003783425,-6.9778462539802195,-1.2275992937077005,6.976174318150437,0,1.0,1.0002396637115893,-0.4347087850078172,0.2
COVID-2017-2020,MSTR,wf,5.684140003783425,-5.311169743113427,-0.9343840474686153,,0,1.0,0.0,-0.40814458207479487,1.0
COVID-2017-2020,MSTR,kfold,5.684140003783425,-6.777080302633121,-1.192278919611801,,0,1.0,0.0,-0.7336098413785783,0.0
COVID-2017-2020,BTC-USD,cpcv,-0.8494963983585448,-2.8881331267339263,-3.3998179772328347,2.330594337077749,0,1.0,1.2392260123463854,-5.678059351069656,0.0
COVID-2017-2020,BTC-USD,wf,-0.8494963983585448,-0.5057217494403572,-0.5953194744763455,,0,1.0,0.0,-2.138664240587686,0.0
COVID-2017-2020,BTC-USD,kfold,-0.8494963983585448,-3.3924781372868678,-3.993516798708089,,0,1.0,0.0,-6.41722337052658,0.0
