timeline,asset,method,delta_median,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
2023-2026,SPY,cpcv,1.604058667176751,0,0.0,0.4944232186636897,-0.14669349769073675,1.0
2023-2026,SPY,wf,2.08843322895578,0,0.0,0.4501530285108044,0.018513078610854217,1.0
2023-2026,SPY,kfold,1.7855651194026958,1,0.4,5.143394941677255,-0.024489487506588248,0.8
2023-2026,AAPL,cpcv,-3.022427310421186,0,1.0,0.7979479801367192,-1.1165486890935863,0.0
2023-2026,AAPL,wf,-1.16427367054612,1,0.5,3.356836020250297,-0.9987523028685688,0.5
2023-2026,AAPL,kfold,-2.213720691261413,0,1.0,4.686517276648717,-1.6571063046253736,0.0
2023-2026,IWM,cpcv,-0.11101559069323397,1,0.8,0.3823121898422674,-0.025102530763706277,1.0
2023-2026,IWM,wf,-0.14862154578386377,1,0.5,2.901553524097009,-0.3897050917489428,0.5
2023-2026,IWM,kfold,-3.462282958350275,1,0.6,2.504839321791829,-0.4471204953297409,0.4
2023-2026,BTC-USD,cpcv,-2.508163632653495,1,0.8,1.4402387547124256,-0.9055305902991947,0.4
2023-2026,BTC-USD,wf,-2.714593672760741,0,1.0,0.6064990871407028,-1.3761434611780277,0.0
2023-2026,BTC-USD,kfold,0.14643738155554042,1,0.4,4.8189952670640315,-1.0500909160895024,0.6
COVID-2017-2020,SPY,cpcv,3.780715667603066,0,0.0,0.9171037350995186,1.2314304128700009,0.6
COVID-2017-2020,SPY,wf,4.128808916873634,0,0.0,0.9521088004160462,1.5445132664747987,1.0
COVID-2017-2020,SPY,kfold,5.997369395699609,1,0.2,3.1926529392990006,1.4240807086238636,0.6
COVID-2017-2020,AAPL,cpcv,-0.3343255528065445,1,0.6,1.3949146004977642,0.07822866402506401,0.0
COVID-2017-2020,AAPL,wf,-4.856785130828876,1,0.5,6.068682293689564,-0.9638293257474075,0.5
COVID-2017-2020,AAPL,kfold,-0.6684793930090478,1,0.6,7.643866151396494,0.4881434863481946,0.4
COVID-2017-2020,IWM,cpcv,0.3900670857145374,1,0.4,0.8576629455605619,-0.03049228742226262,0.0
COVID-2017-2020,IWM,wf,-0.548518847360902,1,0.5,0.9113101708109803,0.27741169976460855,0.0
COVID-2017-2020,IWM,kfold,2.3745134139758672,1,0.2,4.040495243730016,0.258988702441294,0.4
COVID-2017-2020,BTC-USD,cpcv,-3.1989950701744627,0,1.0,1.1083974412370046,-5.678059351069656,0.0
COVID-2017-2020,BTC-USD,wf,-0.5042304714220107,1,0.5,2.0882686277598363,-1.350294735904983,0.5
COVID-2017-2020,BTC-USD,kfold,-1.5463807409650923,1,0.6,4.448765893853803,-4.825091197016819,0.4
